Store,DayOfWeek,Date,Sales,Customers,Open,Promo,StateHoliday,SchoolHoliday,StoreType,Assortment,CompetitionDistance,CompetitionOpenSinceMonth,CompetitionOpenSinceYear,Promo2,Promo2SinceWeek,Promo2SinceYear,PromoInterval,Year,Month,MonthName,Day,WeekOfYear,IsWeekend,SalesPerCustomer,PromoStatus,HolidayStatus,CompetitionGroup
145,4,2015-06-11,6056,971,1,0.0,0,0.0,Type A,Basic,280.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,6,June,11,24,0,6.23686920700309,No Promo,Non-Holiday,Very Near
976,5,2015-03-20,7168,704,1,1.0,0,0.0,Type A,Basic,4180.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,20,12,0,10.181818181818182,Promo,Non-Holiday,Near
167,4,2015-01-22,6950,921,1,0.0,0.0,0.0,Type A,Basic,140.0,4.0,2008.0,0,0.0,0.0,None,2015,1,January,22,4,0,7.54614549402823,No Promo,Holiday,Very Near
250,5,2015-05-08,9562,717,1,1.0,0,0.0,Type D,Basic,3520.0,0.0,0.0,1,18.0,2012.0,"Feb,May,Aug,Nov",2015,5,May,8,19,0,13.336122733612273,Promo,Non-Holiday,Near
634,1,2015-01-19,4972,588,1,0.0,0.0,0.0,Type D,Basic,18610.0,0.0,0.0,0,0.0,0.0,None,2015,1,January,19,4,0,8.45578231292517,No Promo,Holiday,Far
568,6,2015-05-16,5587,492,1,0.0,0,0.0,Type D,Extended,4270.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,5,May,16,20,1,11.355691056910569,No Promo,Non-Holiday,Near
224,6,2015-04-25,7553,529,1,0.0,0,0.0,Type D,Extended,7930.0,0.0,0.0,1,1.0,2013.0,"Jan,Apr,Jul,Oct",2015,4,April,25,17,1,14.27788279773157,No Promo,Non-Holiday,Moderate
742,2,2015-06-30,11505,996,1,1.0,0,1.0,Type D,Extended,4380.0,0.0,0.0,0,0.0,0.0,None,2015,6,June,30,27,0,11.551204819277109,Promo,Non-Holiday,Near
1043,6,2015-07-25,6922,1010,1,0.0,0,0.0,Type C,Basic,420.0,3.0,2006.0,0,0.0,0.0,None,2015,7,July,25,30,1,6.853465346534653,No Promo,Non-Holiday,Very Near
664,3,2015-03-25,3991,496,1,0.0,0,0.0,Type D,Extended,1680.0,10.0,2005.0,0,0.0,0.0,None,2015,3,March,25,13,0,8.046370967741936,No Promo,Non-Holiday,Near
127,5,2015-03-06,5826,681,1,1.0,0,0.0,Type D,Basic,1350.0,12.0,2005.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,3,March,6,10,0,8.555066079295154,Promo,Non-Holiday,Near
619,4,2015-01-15,4676,446,1,1.0,0.0,0.0,Type A,Basic,1600.0,6.0,2006.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,1,January,15,3,0,10.484304932735427,Promo,Holiday,Near
665,3,2015-01-28,8017,1195,1,1.0,0.0,0.0,Type A,Basic,90.0,12.0,2012.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,1,January,28,5,0,6.708786610878661,Promo,Holiday,Very Near
835,1,2015-06-01,8173,833,1,1.0,0,0.0,Type A,Basic,2890.0,12.0,2007.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,6,June,1,23,0,9.811524609843937,Promo,Non-Holiday,Near
948,6,2015-07-04,6687,1956,1,0.0,0,0.0,Type B,Extra,1430.0,0.0,0.0,0,0.0,0.0,None,2015,7,July,4,27,1,3.418711656441718,No Promo,Non-Holiday,Near
805,6,2015-07-04,4775,448,1,0.0,0,0.0,Type D,Basic,24770.0,10.0,2011.0,1,10.0,2014.0,"Mar,Jun,Sept,Dec",2015,7,July,4,27,1,10.658482142857142,No Promo,Non-Holiday,
695,2,2015-02-10,3729,452,1,0.0,0,0.0,Type A,Basic,550.0,7.0,2011.0,1,1.0,2012.0,"Jan,Apr,Jul,Oct",2015,2,February,10,7,0,8.25,No Promo,Non-Holiday,Very Near
850,4,2015-07-30,6081,609,1,1.0,0,1.0,Type D,Basic,1120.0,5.0,2007.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,July,30,31,0,9.985221674876847,Promo,Non-Holiday,Near
492,6,2015-06-20,7058,1127,1,0.0,0,0.0,Type A,Basic,1740.0,3.0,2008.0,1,40.0,2012.0,"Jan,Apr,Jul,Oct",2015,6,June,20,25,1,6.262644188110027,No Promo,Non-Holiday,Near
944,4,2015-07-30,9129,1282,1,1.0,0,1.0,Type C,Basic,1670.0,7.0,2015.0,0,0.0,0.0,None,2015,7,July,30,31,0,7.120904836193448,Promo,Non-Holiday,Near
168,1,2015-02-02,12163,1021,1,1.0,0.0,0.0,Type A,Basic,12540.0,0.0,0.0,0,0.0,0.0,None,2015,2,February,2,6,0,11.9128305582762,Promo,Holiday,Far
685,6,2015-02-14,3243,335,1,0.0,0,0.0,Type A,Basic,650.0,11.0,2013.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,2,February,14,7,1,9.680597014925374,No Promo,Non-Holiday,Very Near
870,6,2015-04-25,5183,618,1,0.0,0,0.0,Type A,Basic,780.0,4.0,2009.0,0,0.0,0.0,None,2015,4,April,25,17,1,8.38673139158576,No Promo,Non-Holiday,Very Near
958,4,2015-04-16,4221,543,1,1.0,0,0.0,Type A,Basic,440.0,11.0,2013.0,0,0.0,0.0,None,2015,4,April,16,16,0,7.773480662983426,Promo,Non-Holiday,Very Near
360,3,2015-05-20,7440,771,1,1.0,0,0.0,Type A,Basic,2040.0,6.0,2007.0,0,0.0,0.0,None,2015,5,May,20,21,0,9.649805447470817,Promo,Non-Holiday,Near
834,6,2015-05-09,3967,407,1,0.0,0,0.0,Type A,Basic,3470.0,3.0,2012.0,0,0.0,0.0,None,2015,5,May,9,19,1,9.746928746928747,No Promo,Non-Holiday,Near
829,1,2015-03-30,8870,939,1,1.0,0,1.0,Type C,Basic,110.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,30,14,0,9.446219382321619,Promo,Non-Holiday,Very Near
491,5,2015-01-16,6833,461,1,1.0,0.0,0.0,Type D,Extended,4680.0,0.0,0.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,1,January,16,3,0,14.822125813449023,Promo,Holiday,Near
755,1,2015-06-15,15261,1073,1,1.0,0,0.0,Type D,Extended,13130.0,12.0,2003.0,0,0.0,0.0,None,2015,6,June,15,25,0,14.222739981360672,Promo,Non-Holiday,Far
962,1,2015-03-09,5325,737,1,0.0,0,0.0,Type C,Basic,260.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,9,11,0,7.225237449118046,No Promo,Non-Holiday,Very Near
322,1,2015-02-02,9201,861,1,1.0,0.0,1.0,Type A,Basic,17500.0,4.0,2001.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,2,February,2,6,0,10.686411149825783,Promo,Holiday,Far
18,5,2015-03-27,6699,755,1,0.0,0,0.0,Type D,Extended,13840.0,6.0,2010.0,1,14.0,2012.0,"Jan,Apr,Jul,Oct",2015,3,March,27,13,0,8.872847682119206,No Promo,Non-Holiday,Far
785,2,2015-02-24,4366,422,1,0.0,0,0.0,Type D,Extended,970.0,7.0,2005.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,2,February,24,9,0,10.345971563981042,No Promo,Non-Holiday,Very Near
875,1,2015-04-20,3854,388,1,0.0,0,0.0,Type D,Basic,5070.0,11.0,2007.0,1,18.0,2015.0,"Feb,May,Aug,Nov",2015,4,April,20,17,0,9.93298969072165,No Promo,Non-Holiday,Moderate
1066,5,2015-03-13,10360,1096,1,0.0,0,0.0,Type A,Basic,3350.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,13,11,0,9.452554744525548,No Promo,Non-Holiday,Near
1041,6,2015-03-28,7187,636,1,0.0,0,0.0,Type C,Basic,1600.0,8.0,2013.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,3,March,28,13,1,11.300314465408805,No Promo,Non-Holiday,Near
297,4,2015-02-26,5560,638,1,0.0,0,0.0,Type A,Basic,2300.0,9.0,2010.0,0,0.0,0.0,None,2015,2,February,26,9,0,8.714733542319749,No Promo,Non-Holiday,Near
1063,6,2015-01-24,3548,451,1,0.0,0.0,0.0,Type A,Extended,6250.0,0.0,0.0,0,0.0,0.0,None,2015,1,January,24,4,1,7.866962305986696,No Promo,Holiday,Moderate
703,4,2015-01-29,4394,407,1,1.0,0.0,0.0,Type A,Basic,80.0,6.0,2005.0,0,0.0,0.0,None,2015,1,January,29,5,0,10.796068796068797,Promo,Holiday,Very Near
913,3,2015-03-25,5957,902,1,0.0,0,0.0,Type A,Basic,280.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,25,13,0,6.6042128603104215,No Promo,Non-Holiday,Very Near
866,3,2015-05-06,7111,475,1,1.0,0,0.0,Type D,Basic,9680.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,5,May,6,19,0,14.970526315789474,Promo,Non-Holiday,Moderate
457,4,2015-04-02,6993,591,1,1.0,0,1.0,Type D,Extended,13140.0,0.0,0.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,4,April,2,14,0,11.83248730964467,Promo,Non-Holiday,Far
1105,1,2015-06-15,9289,826,1,1.0,0,0.0,Type C,Extended,330.0,11.0,2008.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,6,June,15,25,0,11.245762711864407,Promo,Non-Holiday,Very Near
1109,2,2015-02-03,5568,497,1,1.0,0.0,0.0,Type C,Basic,3490.0,4.0,2011.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2015,2,February,3,6,0,11.203219315895373,Promo,Holiday,Near
809,6,2015-01-17,7410,662,1,0.0,0.0,0.0,Type A,Basic,12770.0,10.0,2000.0,0,0.0,0.0,None,2015,1,January,17,3,1,11.193353474320242,No Promo,Holiday,Far
969,1,2015-05-11,3806,667,1,0.0,0,0.0,Type A,Extended,600.0,11.0,1999.0,1,10.0,2013.0,"Jan,Apr,Jul,Oct",2015,5,May,11,20,0,5.706146926536731,No Promo,Non-Holiday,Very Near
887,6,2015-03-14,5762,498,1,0.0,0,0.0,Type D,Basic,19700.0,0.0,0.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,3,March,14,11,1,11.570281124497992,No Promo,Non-Holiday,Far
169,4,2015-02-19,5862,603,1,1.0,0,0.0,Type D,Basic,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2015,2,February,19,8,0,9.721393034825871,Promo,Non-Holiday,Very Near
959,6,2015-03-07,4007,426,1,0.0,0,0.0,Type A,Extended,1060.0,12.0,2005.0,0,0.0,0.0,None,2015,3,March,7,10,1,9.406103286384976,No Promo,Non-Holiday,Near
461,4,2015-06-25,3513,378,1,0.0,0,0.0,Type D,Extended,1790.0,7.0,2013.0,1,40.0,2013.0,"Jan,Apr,Jul,Oct",2015,6,June,25,26,0,9.293650793650794,No Promo,Non-Holiday,Near
889,2,2015-06-30,5480,492,1,1.0,0,0.0,Type D,Basic,18670.0,12.0,2005.0,0,0.0,0.0,None,2015,6,June,30,27,0,11.138211382113822,Promo,Non-Holiday,Far
716,5,2015-03-06,5838,487,1,1.0,0,0.0,Type D,Basic,3200.0,1.0,2008.0,1,22.0,2011.0,"Jan,Apr,Jul,Oct",2015,3,March,6,10,0,11.987679671457906,Promo,Non-Holiday,Near
870,6,2015-05-02,6399,717,1,0.0,0,0.0,Type A,Basic,780.0,4.0,2009.0,0,0.0,0.0,None,2015,5,May,2,18,1,8.92468619246862,No Promo,Non-Holiday,Very Near
941,5,2015-03-27,4322,506,1,0.0,0,0.0,Type A,Basic,1200.0,12.0,2011.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,3,March,27,13,0,8.541501976284586,No Promo,Non-Holiday,Near
365,6,2015-04-11,5482,621,1,0.0,0,0.0,Type C,Basic,2410.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,4,April,11,15,1,8.827697262479871,No Promo,Non-Holiday,Near
441,3,2015-06-24,4998,599,1,0.0,0,0.0,Type D,Basic,2530.0,0.0,0.0,0,0.0,0.0,None,2015,6,June,24,26,0,8.343906510851419,No Promo,Non-Holiday,Near
651,1,2015-03-02,9812,1134,1,1.0,0,0.0,Type A,Basic,200.0,0.0,0.0,0,0.0,0.0,None,2015,3,March,2,10,0,8.652557319223986,Promo,Non-Holiday,Very Near
233,1,2015-07-20,10352,1065,1,0.0,0,0.0,Type A,Basic,1890.0,0.0,0.0,0,0.0,0.0,None,2015,7,July,20,30,0,9.72018779342723,No Promo,Non-Holiday,Near
826,6,2015-01-24,4668,399,1,0.0,0.0,0.0,Type A,Extended,7980.0,6.0,2005.0,0,0.0,0.0,None,2015,1,January,24,4,1,11.699248120300751,No Promo,Holiday,Moderate
345,2,2015-06-30,5528,553,1,1.0,0,0.0,Type A,Basic,120.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2015,6,June,30,27,0,9.99638336347197,Promo,Non-Holiday,Very Near
878,6,2015-05-23,5756,560,1,0.0,0,0.0,Type D,Extended,1100.0,12.0,2014.0,0,0.0,0.0,None,2015,5,May,23,21,1,10.278571428571428,No Promo,Non-Holiday,Near
982,4,2015-05-28,7299,624,1,0.0,0,0.0,Type D,Basic,21930.0,0.0,0.0,0,0.0,0.0,None,2015,5,May,28,22,0,11.697115384615385,No Promo,Non-Holiday,
758,3,2015-07-08,4499,621,1,0.0,0,0.0,Type A,Extended,19780.0,6.0,2008.0,0,0.0,0.0,None,2015,7,July,8,28,0,7.244766505636071,No Promo,Non-Holiday,Far
336,5,2015-02-20,13493,1932,1,1.0,0,0.0,Type A,Basic,190.0,7.0,2014.0,0,0.0,0.0,None,2015,2,February,20,8,0,6.983954451345756,Promo,Non-Holiday,Very Near
454,3,2015-04-01,10437,1067,1,1.0,0,0.0,Type A,Basic,26450.0,0.0,0.0,0,0.0,0.0,None,2015,4,April,1,14,0,9.781630740393627,Promo,Non-Holiday,
627,6,2015-01-31,8083,807,1,0.0,0.0,0.0,Type C,Extended,3970.0,3.0,2010.0,0,0.0,0.0,None,2015,1,January,31,5,1,10.016109045848824,No Promo,Holiday,Near
488,4,2015-04-09,2281,299,1,0.0,0,1.0,Type A,Extended,2890.0,4.0,2014.0,0,0.0,0.0,None,2015,4,April,9,15,0,7.62876254180602,No Promo,Non-Holiday,Near
606,2,2015-04-21,4724,576,1,0.0,0,0.0,Type A,Basic,2260.0,11.0,2007.0,0,0.0,0.0,None,2015,4,April,21,17,0,8.20138888888889,No Promo,Non-Holiday,Near
632,4,2015-03-05,7663,942,1,1.0,0,1.0,Type A,Basic,3350.0,2.0,2010.0,0,0.0,0.0,None,2015,3,March,5,10,0,8.134819532908704,Promo,Non-Holiday,Near
38,4,2015-06-18,5647,507,1,1.0,0,0.0,Type D,Basic,1090.0,4.0,2007.0,0,0.0,0.0,None,2015,6,June,18,25,0,11.138067061143984,Promo,Non-Holiday,Near
50,5,2015-01-16,4280,393,1,1.0,0.0,0.0,Type D,Basic,6260.0,11.0,2009.0,0,0.0,0.0,None,2015,1,January,16,3,0,10.89058524173028,Promo,Holiday,Moderate
922,4,2015-02-26,6153,595,1,0.0,0,0.0,Type D,Basic,2110.0,3.0,2006.0,0,0.0,0.0,None,2015,2,February,26,9,0,10.341176470588236,No Promo,Non-Holiday,Near
1057,5,2015-01-23,5798,645,1,0.0,0.0,0.0,Type D,Extended,3230.0,11.0,2011.0,0,0.0,0.0,None,2015,1,January,23,4,0,8.989147286821705,No Promo,Holiday,Near
378,2,2015-02-03,7972,1070,1,1.0,0.0,0.0,Type A,Extended,2140.0,8.0,2012.0,0,0.0,0.0,None,2015,2,February,3,6,0,7.450467289719626,Promo,Holiday,Near
884,4,2015-05-21,6161,568,1,1.0,0,0.0,Type D,Extended,7550.0,0.0,0.0,0,0.0,0.0,None,2015,5,May,21,21,0,10.846830985915492,Promo,Non-Holiday,Moderate
306,4,2015-05-21,5123,519,1,1.0,0,0.0,Type A,Basic,5100.0,4.0,2007.0,1,40.0,2014.0,"Jan,Apr,Jul,Oct",2015,5,May,21,21,0,9.870905587668593,Promo,Non-Holiday,Moderate
847,2,2015-06-09,5708,825,1,0.0,0,0.0,Type C,Extended,190.0,0.0,0.0,1,31.0,2013.0,"Feb,May,Aug,Nov",2015,6,June,9,24,0,6.918787878787879,No Promo,Non-Holiday,Very Near
132,6,2015-06-13,7543,662,1,0.0,0,0.0,Type D,Extended,1040.0,0.0,0.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",2015,6,June,13,24,1,11.394259818731118,No Promo,Non-Holiday,Near
888,4,2015-02-12,6629,669,1,0.0,0,0.0,Type D,Basic,4450.0,6.0,2012.0,1,35.0,2012.0,"Mar,Jun,Sept,Dec",2015,2,February,12,7,0,9.90881913303438,No Promo,Non-Holiday,Near
229,4,2015-04-09,7619,667,1,0.0,0,1.0,Type D,Extended,17410.0,4.0,2007.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,4,April,9,15,0,11.422788605697152,No Promo,Non-Holiday,Far
205,2,2015-06-16,7809,979,1,1.0,0,0.0,Type A,Basic,110.0,12.0,2007.0,0,0.0,0.0,None,2015,6,June,16,25,0,7.9765066394279875,Promo,Non-Holiday,Very Near
668,1,2015-02-02,12257,1461,1,1.0,0.0,1.0,Type C,Basic,1270.0,9.0,2010.0,0,0.0,0.0,None,2015,2,February,2,6,0,8.38945927446954,Promo,Holiday,Near
1114,2,2015-04-28,23315,3204,1,1.0,0,0.0,Type A,Extended,870.0,0.0,0.0,0,0.0,0.0,None,2015,4,April,28,18,0,7.276841448189763,Promo,Non-Holiday,Very Near
207,4,2015-05-28,9521,1249,1,0.0,0,0.0,Type A,Basic,6870.0,0.0,0.0,0,0.0,0.0,None,2015,5,May,28,22,0,7.622898318654924,No Promo,Non-Holiday,Moderate
247,3,2015-05-27,7212,614,1,0.0,0,0.0,Type D,Extended,70.0,11.0,2010.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,5,May,27,22,0,11.745928338762216,No Promo,Non-Holiday,Very Near
180,1,2015-05-18,10161,1025,1,1.0,0,0.0,Type D,Basic,5800.0,9.0,2010.0,0,0.0,0.0,None,2015,5,May,18,21,0,9.913170731707318,Promo,Non-Holiday,Moderate
1074,1,2015-02-23,3947,467,1,0.0,0,0.0,Type C,Extended,3330.0,10.0,2001.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,2,February,23,9,0,8.451820128479657,No Promo,Non-Holiday,Near
499,5,2015-07-17,5604,804,1,1.0,0,0.0,Type C,Extended,450.0,0.0,0.0,1,5.0,2013.0,"Feb,May,Aug,Nov",2015,7,July,17,29,0,6.970149253731344,Promo,Non-Holiday,Very Near
629,4,2015-05-28,5528,481,1,0.0,0,1.0,Type D,Basic,510.0,7.0,2014.0,1,23.0,2015.0,"Mar,Jun,Sept,Dec",2015,5,May,28,22,0,11.492723492723492,No Promo,Non-Holiday,Very Near
145,5,2015-03-27,6323,949,1,0.0,0,0.0,Type A,Basic,280.0,0.0,0.0,1,45.0,2009.0,"Feb,May,Aug,Nov",2015,3,March,27,13,0,6.662802950474183,No Promo,Non-Holiday,Very Near
467,4,2015-05-21,14096,1573,1,1.0,0,0.0,Type A,Extended,20390.0,4.0,2008.0,0,0.0,0.0,None,2015,5,May,21,21,0,8.961220597584234,Promo,Non-Holiday,
934,4,2015-07-09,6152,617,1,0.0,0,1.0,Type A,Extended,5460.0,0.0,0.0,1,14.0,2011.0,"Jan,Apr,Jul,Oct",2015,7,July,9,28,0,9.970826580226904,No Promo,Non-Holiday,Moderate
130,2,2015-02-24,4039,519,1,0.0,0,0.0,Type C,Basic,900.0,0.0,0.0,1,13.0,2010.0,"Jan,Apr,Jul,Oct",2015,2,February,24,9,0,7.782273603082851,No Promo,Non-Holiday,Very Near
169,3,2015-04-15,5824,512,1,1.0,0,0.0,Type D,Basic,980.0,7.0,2014.0,1,18.0,2014.0,"Feb,May,Aug,Nov",2015,4,April,15,16,0,11.375,Promo,Non-Holiday,Very Near
999,1,2015-04-20,6497,501,1,0.0,0,0.0,Type D,Extended,15140.0,2.0,2002.0,1,37.0,2009.0,"Jan,Apr,Jul,Oct",2015,4,April,20,17,0,12.968063872255488,No Promo,Non-Holiday,Far
205,6,2015-01-24,4502,704,1,0.0,0.0,0.0,Type A,Basic,110.0,12.0,2007.0,0,0.0,0.0,None,2015,1,January,24,4,1,6.394886363636363,No Promo,Holiday,Very Near
514,3,2015-04-29,7005,718,1,1.0,0,0.0,Type C,Extended,1200.0,7.0,2012.0,1,27.0,2012.0,"Jan,Apr,Jul,Oct",2015,4,April,29,18,0,9.756267409470752,Promo,Non-Holiday,Near
721,5,2015-02-27,9241,847,1,0.0,0,0.0,Type A,Extended,3590.0,9.0,2012.0,1,22.0,2012.0,"Mar,Jun,Sept,Dec",2015,2,February,27,9,0,10.910271546635183,No Promo,Non-Holiday,Near
386,5,2015-07-10,6079,518,1,0.0,0,1.0,Type D,Extended,1460.0,4.0,2014.0,1,31.0,2013.0,"Jan,Apr,Jul,Oct",2015,7,July,10,28,0,11.735521235521235,No Promo,Non-Holiday,Near
107,3,2015-06-24,6078,856,1,0.0,0,0.0,Type A,Basic,1930.0,9.0,2009.0,0,0.0,0.0,None,2015,6,June,24,26,0,7.100467289719626,No Promo,Non-Holiday,Near
281,5,2015-06-05,6834,567,1,1.0,0,0.0,Type D,Extended,6970.0,9.0,2011.0,0,0.0,0.0,None,2015,6,June,5,23,0,12.052910052910052,Promo,Non-Holiday,Moderate
586,2,2015-01-13,13621,1965,1,1.0,0.0,0.0,Type A,Extended,250.0,10.0,2008.0,0,0.0,0.0,None,2015,1,January,13,3,0,6.931806615776082,Promo,Holiday,Very Near
982,5,2015-02-13,7715,700,1,0.0,0,1.0,Type D,Basic,21930.0,0.0,0.0,0,0.0,0.0,None,2015,2,February,13,7,0,11.021428571428572,No Promo,Non-Holiday,
407,3,2015-04-15,3565,298,1,1.0,0,0.0,Type A,Basic,5890.0,10.0,2003.0,1,14.0,2011.0,"Feb,May,Aug,Nov",2015,4,April,15,16,0,11.963087248322148,Promo,Non-Holiday,Moderate
684,5,2015-04-10,7068,586,1,0.0,0,1.0,Type D,Extended,680.0,0.0,0.0,1,22.0,2012.0,"Jan,Apr,Jul,Oct",2015,4,April,10,15,0,12.061433447098976,No Promo,Non-Holiday,Very Near
